Date,Product,Category,Price,Quantity,Rating,Revenue
2018-01-01,microwave,electronics,300,39,10,11700
2018-01-01,fragrance,comestic,50,34,10,1700
2018-01-01,oven,electronics,600,2,9,1200
2018-01-01,smartphone,electronics,500,5,7,2500
2018-01-01,fragrance,comestic,50,25,9,1250
2018-01-01,suncream,comestic,20,24,5,480
2018-01-01,smartphone,electronics,500,35,8,17500
2018-01-01,fragrance,comestic,50,2,8,100
2018-01-01,smartphone,electronics,500,36,9,18000
2018-01-01,fridge,electronics,1200,19,10,22800
2018-01-02,fragrance,comestic,50,48,4,2400
2018-01-02,face cleanser,comestic,25,26,10,650
2018-01-02,oven,electronics,600,16,9,9600
2018-01-02,eye liner,comestic,12,14,9,168
2018-01-02,microwave,electronics,300,31,7,9300
2018-01-02,microwave,electronics,300,31,7,9300
2018-01-02,lipstick,comestic,15,41,3,615
2018-01-02,smartphone,electronics,500,34,7,17000
2018-01-02,oven,electronics,600,5,3,3000
2018-01-02,fragrance,comestic,50,40,6,2000
2018-01-03,microwave,electronics,300,48,1,14400
2018-01-03,mascara,comestic,10,14,7,140
2018-01-03,microwave,electronics,300,42,8,12600
2018-01-03,face cleanser,comestic,25,6,2,150
2018-01-03,smartphone,electronics,500,24,5,12000
2018-01-03,face cleanser,comestic,25,33,5,825
2018-01-03,microwave,electronics,300,46,10,13800
2018-01-03,eye liner,comestic,12,24,8,288
2018-01-03,lipstick,comestic,15,47,5,705
2018-01-03,laptop,electronics,1000,34,1,34000
2018-01-04,face cleanser,comestic,25,37,10,925
2018-01-04,suncream,comestic,20,25,4,500
2018-01-04,suncream,comestic,20,44,4,880
2018-01-04,microwave,electronics,300,4,1,1200
2018-01-04,suncream,comestic,20,36,3,720
2018-01-04,suncream,comestic,20,39,9,780
2018-01-04,eye liner,comestic,12,2,4,24
2018-01-04,lipstick,comestic,15,20,8,300
2018-01-04,oven,electronics,600,33,4,19800
2018-01-04,mascara,comestic,10,27,6,270
2018-01-05,lipstick,comestic,15,39,9,585
